"","responseid","r13pad1","r13pad2","r13pad3","r13pad4","r13pad5_avsender","r13pad5_sak","r13pad5_utfall","r13pad5_vinner","r13pad5_vinnermargin","r13pad6_ran","r13pad6a","r13pad6b","r13pad7a","r13pad7b","r13pad8a","r13pad8b","Scale_time","time","median"
"1483",1011077,2,4,2,3,6,2,1,2,1,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",98,88
"1484",1011080,1,2,2,1,3,1,2,2,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",58,88
"1485",1011083,2,4,2,4,7,2,1,2,2,1,4,98,3,98,3,98,"timeTracker2_R13PAD6A",90,88
"1486",1011089,2,5,2,5,4,1,1,1,1,1,2,98,4,98,2,98,"timeTracker2_R13PAD6A",111,88
"1487",1011097,1,4,1,4,7,2,1,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",37,88
"1488",1011104,1,4,2,3,3,2,2,1,3,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",842,88
"1489",1011106,1,3,2,4,6,2,1,2,3,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",99,88
"1490",1011113,1,3,2,3,5,1,1,2,1,1,2,98,2,98,3,98,"timeTracker2_R13PAD6A",63,88
"1491",1011129,1,2,2,1,4,1,1,2,3,1,2,98,97,98,97,98,"timeTracker2_R13PAD6A",72,88
"1492",1011133,1,5,2,2,2,2,2,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",43,88
"1493",1011134,2,4,2,5,7,1,2,1,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",72,88
