"","responseid","r13pad1","r13pad2","r13pad3","r13pad4","r13pad5_avsender","r13pad5_sak","r13pad5_utfall","r13pad5_vinner","r13pad5_vinnermargin","r13pad6_ran","r13pad6a","r13pad6b","r13pad7a","r13pad7b","r13pad8a","r13pad8b","Scale_time","time"
"1240",1009002,1,3,2,2,2,1,2,1,2,1,1,98,1,98,3,98,"timeTracker2_R13PAD6A",89
"1241",1009014,1,1,2,2,7,1,2,2,2,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",41
"1242",1009038,2,3,2,3,3,2,2,2,2,2,98,4,98,4,98,2,"timeTracker2_R13PAD6B",36
"1243",1009065,1,3,1,3,5,2,1,1,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",42
"1244",1009067,1,3,2,4,7,1,2,1,3,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",123
"1245",1009075,1,1,2,1,7,2,2,2,1,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",57
"1246",1009076,2,3,2,2,1,2,2,2,2,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",85
"1247",1009088,1,4,2,4,6,2,2,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",118
"1248",1009102,1,4,2,3,7,2,2,1,3,1,2,98,3,98,3,98,"timeTracker2_R13PAD6A",92
"1249",1009103,2,4,2,4,5,2,2,2,1,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",75
"1250",1009106,1,4,1,3,6,1,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",88
"1251",1009118,1,3,1,3,2,2,2,2,1,1,3,98,2,98,3,98,"timeTracker2_R13PAD6A",3071
"1252",1009143,97,97,2,3,1,1,2,2,2,1,4,98,4,98,3,98,"timeTracker2_R13PAD6A",67
"1253",1009169,2,2,1,2,4,2,1,1,3,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",102
"1254",1009170,1,4,2,1,3,1,1,2,3,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",107
"1255",1009171,2,4,1,3,1,1,1,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",52
"1256",1009174,1,3,2,3,6,1,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",121
"1257",1009179,1,2,2,2,2,1,2,1,1,2,98,3,98,3,98,4,"timeTracker2_R13PAD6B",88
"1258",1009182,1,3,2,1,1,2,2,2,3,2,98,1,98,1,98,2,"timeTracker2_R13PAD6B",149
"1259",1009189,1,3,2,1,1,2,2,1,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",131
"1260",1009196,1,4,2,1,2,2,1,1,3,1,97,98,97,98,97,98,"timeTracker2_R13PAD6A",72
"1261",1009219,2,4,2,2,7,2,2,1,1,2,98,2,98,1,98,2,"timeTracker2_R13PAD6B",106
"1262",1009228,1,2,2,1,2,1,2,1,2,1,2,98,4,98,4,98,"timeTracker2_R13PAD6A",60
"1263",1009232,2,4,2,2,6,2,2,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",149
"1264",1009238,2,1,2,4,1,1,2,2,1,1,2,98,1,98,1,98,"timeTracker2_R13PAD6A",119
"1265",1009245,2,3,1,4,5,1,2,2,2,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",67
"1266",1009249,1,4,1,3,4,2,2,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",50
"1267",1009254,2,4,2,3,1,2,2,2,1,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",80
"1268",1009255,2,5,2,4,5,2,1,1,3,2,98,1,98,1,98,2,"timeTracker2_R13PAD6B",60
"1269",1009258,2,4,1,3,6,2,2,2,3,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",66
"1270",1009260,2,1,2,2,6,1,2,1,3,2,98,3,98,1,98,1,"timeTracker2_R13PAD6B",69
